signal_time,entry_datetime,entry_month,entry_time,entry_price,entry_spread,vix_at_entry,vix_at_entry_time,indicator,exit_datetime,exit_spread,exit_price,exit_reason,sl_price,price_difference,pnl,expiry,opttype,buy_leg_strike,sell_leg_strike,buy_leg_entry_price,sell_leg_entry_price,buy_leg_exit_price,sell_leg_exit_price,max_profit_time,max_profit_pnl,min_profit_time,min_profit_pnl
2022-02-17 13:30:00,2022-02-17 13:46:00,February,13:46:00,17407.2,26.65,20.9,2022-02-17T13:46:00.000000,vix_higher_than_threshold,2022-02-17 13:57:00,39.3,17371.9,stop_loss,17381.089200000002,-9.18920000000071,-632.5,2022-02-17,PE,17200,17400,2.35,29.0,1.95,41.25,2022-02-17 13:50:00,17.49999999999996,2022-02-17 13:57:00,-632.5
2022-03-03 11:00:00,2022-03-03 11:16:00,March,11:16:00,16649.25,50.85,27.62,2022-03-03T11:16:00.000000,vix_higher_than_threshold,2022-03-03 12:15:00,52.25,16623.7,stop_loss,16624.276125,-0.5761249999995925,-70.00000000000011,2022-03-03,PE,16450,16650,13.65,64.5,9.6,61.85,2022-03-03 12:06:00,420.0,2022-03-03 12:15:00,-70.00000000000011
2022-03-09 12:15:00,2022-03-09 12:31:00,March,12:31:00,16227.9,74.4,27.8,2022-03-09T12:31:00.000000,vix_higher_than_threshold,2022-03-10 10:16:00,1.0999999999999999,16726.35,time_exit,16203.558149999999,522.7918499999996,3665.0,2022-03-10,PE,16050,16250,69.0,143.4,1.8,2.9,2022-03-10 09:19:00,3685.0,2022-03-10 09:45:00,3594.9999999999995
2022-03-10 11:00:00,2022-03-10 11:16:00,March,11:16:00,16733.5,84.95000000000002,24.34,2022-03-10T11:16:00.000000,vix_higher_than_threshold,2022-03-10 11:31:00,86.55000000000001,16703.1,stop_loss,16708.39975,-5.29975000000195,-79.99999999999972,2022-03-17,PE,16550,16750,157.1,242.05,159.45,246.0,2022-03-10 11:22:00,7.500000000000284,2022-03-10 11:29:00,-157.49999999999886
2022-03-11 13:15:00,2022-03-11 13:31:00,March,13:31:00,16621.95,70.4,25.49,2022-03-11T13:31:00.000000,vix_higher_than_threshold,2022-03-11 13:35:00,75.30000000000001,16585.5,stop_loss,16597.017075,-11.51707499999975,-245.00000000000028,2022-03-17,PE,16400,16600,150.85,221.25,160.6,235.9,2022-03-11 13:31:00,-39.99999999999915,2022-03-11 13:35:00,-245.00000000000028
2022-03-14 10:30:00,2022-03-14 10:46:00,March,10:46:00,16680.05,76.6,25.91,2022-03-14T10:46:00.000000,vix_higher_than_threshold,2022-03-14 14:46:00,52.14999999999999,16865.25,time_exit,16655.029925,210.2200750000011,1222.5000000000002,2022-03-17,PE,16500,16700,142.1,218.7,93.3,145.45,2022-03-14 14:46:00,1222.5000000000002,2022-03-14 14:46:00,1222.5000000000002
2022-03-15 10:00:00,2022-03-15 10:16:00,March,10:16:00,16869.85,71.95000000000002,26.0,2022-03-15T10:16:00.000000,vix_higher_than_threshold,2022-03-15 10:19:00,76.55,16842.4,stop_loss,16844.545224999998,-2.1452249999965716,-229.999999999999,2022-03-17,PE,16650,16850,105.35,177.3,114.45,191.0,2022-03-15 10:16:00,-27.499999999999147,2022-03-15 10:19:00,-229.999999999999
2022-03-15 11:45:00,2022-03-15 12:01:00,March,12:01:00,16880.05,78.70000000000002,25.94,2022-03-15T12:01:00.000000,vix_higher_than_threshold,2022-03-15 12:20:00,82.75,16853.6,stop_loss,16854.729925,-1.1299250000010943,-202.49999999999915,2022-03-17,PE,16700,16900,110.35,189.05,121.75,204.5,2022-03-15 12:04:00,80.00000000000043,2022-03-15 12:20:00,-202.49999999999915
2022-03-16 11:30:00,2022-03-16 11:46:00,March,11:46:00,16906.05,64.19999999999999,24.92,2022-03-16T11:46:00.000000,vix_higher_than_threshold,2022-03-16 13:11:00,69.35000000000001,16878.05,stop_loss,16880.690925,-2.6409249999996973,-257.5000000000006,2022-03-17,PE,16700,16900,49.65,113.85,57.55,126.9,2022-03-16 12:47:00,254.99999999999972,2022-03-16 13:04:00,-417.4999999999997
2022-03-16 13:15:00,2022-03-16 13:31:00,March,13:31:00,16910.05,64.7,24.75,2022-03-16T13:31:00.000000,vix_higher_than_threshold,2022-03-16 14:02:00,70.6,16882.95,stop_loss,16884.684924999998,-1.7349249999970198,-294.99999999999994,2022-03-17,PE,16700,16900,50.55,115.25,56.6,127.2,2022-03-16 13:46:00,94.99999999999993,2022-03-16 14:01:00,-304.9999999999994
2022-03-16 14:15:00,2022-03-16 14:31:00,March,14:31:00,16902.15,65.30000000000001,24.45,2022-03-16T14:31:00.000000,vix_higher_than_threshold,2022-03-17 12:16:00,1.25,17286.2,time_exit,16876.796775000003,409.4032249999982,3202.5,2022-03-17,PE,16700,16900,48.9,114.2,1.65,2.9,2022-03-17 11:54:00,3215.0,2022-03-17 12:10:00,3190.0
